trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12265F3134003:2024-08-10T00:26:19Z,14:14:00,14:17:00,StopPoint:OCETGV INOUI-87393702,1,,0,1,
OCESN12265F3134003:2024-08-10T00:26:19Z,16:14:00,16:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12266F3090972:2024-08-10T00:26:19Z,17:46:00,17:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F3090972:2024-08-10T00:26:19Z,19:49:00,19:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12266F3250313:2024-08-10T00:26:19Z,17:46:00,17:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F3250313:2024-08-10T00:26:19Z,19:49:00,19:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12266F3300134:2024-08-10T00:26:19Z,17:46:00,17:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F3300134:2024-08-10T00:26:19Z,19:49:00,19:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12267F3089524:2024-07-06T00:31:25Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3089524:2024-07-06T00:31:25Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3089525:2024-04-16T00:31:58Z,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3089525:2024-04-16T00:31:58Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3090727:2024-04-16T00:31:58Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3090727:2024-04-16T00:31:58Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3090728:2024-04-16T00:31:58Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3090728:2024-04-16T00:31:58Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3090729:2024-07-06T00:31:25Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3090729:2024-07-06T00:31:25Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3090731:2024-07-10T00:42:13Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3090731:2024-07-10T00:42:13Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3090732:2024-08-09T00:28:34Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3090732:2024-08-09T00:28:34Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3090733:2024-07-06T00:31:25Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3090733:2024-07-06T00:31:25Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3133982:2024-07-26T00:28:41Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3133982:2024-07-26T00:28:41Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12268F3086578:2024-08-10T00:26:19Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F3086578:2024-08-10T00:26:19Z,14:49:00,14:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12268F3086732:2024-08-10T00:26:19Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F3086732:2024-08-10T00:26:19Z,14:49:00,14:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12268F3156319:2024-08-10T00:26:19Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F3156319:2024-08-10T00:26:19Z,14:49:00,14:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12268F3228335:2024-08-10T00:26:19Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F3228335:2024-08-10T00:26:19Z,14:49:00,14:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12268F3228336:2024-08-10T00:26:19Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F3228336:2024-08-10T00:26:19Z,14:49:00,14:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12269F2666968:2024-08-10T00:26:19Z,08:01:00,08:01:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12269F2666968:2024-08-10T00:26:19Z,09:17:00,09:20:00,StopPoint:OCETGV INOUI-87575001,1,,0,0,
OCESN12269F2666968:2024-08-10T00:26:19Z,10:18:00,10:18:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12269F2666969:2024-08-10T00:26:19Z,08:01:00,08:01:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12269F2666969:2024-08-10T00:26:19Z,09:17:00,09:20:00,StopPoint:OCETGV INOUI-87575001,1,,0,0,
OCESN12269F2666969:2024-08-10T00:26:19Z,10:18:00,10:18:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12269F3091166:2024-08-10T00:26:19Z,08:01:00,08:01:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12269F3091166:2024-08-10T00:26:19Z,09:17:00,09:20:00,StopPoint:OCETGV INOUI-87575001,1,,0,0,
OCESN12269F3091166:2024-08-10T00:26:19Z,10:18:00,10:18:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12270F3091778:2024-08-10T00:26:19Z,19:46:00,19:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12270F3091778:2024-08-10T00:26:19Z,21:49:00,21:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12270F3236305:2024-08-10T00:26:19Z,19:46:00,19:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12270F3236305:2024-08-10T00:26:19Z,21:49:00,21:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12270F3246134:2024-08-10T00:26:19Z,19:46:00,19:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12270F3246134:2024-08-10T00:26:19Z,21:49:00,21:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12271F2666498:2024-08-10T00:26:19Z,18:47:00,18:47:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12271F2666498:2024-08-10T00:26:19Z,20:50:00,20:50:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
