trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
6627,2024-09-17,17:51:00,Paris Gare de Lyon Hall 1 - 2,20:10:00,Lyon Perrache,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '17:51:00', 0], ['Le Creusot-TGV', '19:11:00', 0, '19:14:00', 0], ['Lyon Part Dieu', '19:56:00', 0, '20:02:00', 0], ['Lyon Perrache', '20:10:00', 0, 0, 0]]"
7181,2024-09-17,17:51:00,Paris Gare du Nord,19:34:00,Valenciennes,"[['Paris Gare du Nord', 0, 0, '17:51:00', 0], ['Arras', '18:40:00', 0, '18:44:00', 0], ['Douai', '18:58:00', 0, '19:09:00', 0], ['Valenciennes', '19:34:00', 0, 0, 0]]"
7581,2024-09-17,17:51:00,Paris Gare du Nord,20:41:00,Rang-du-Fliers - Verton - Berck,"[['Paris Gare du Nord', 0, 0, '17:51:00', 0], ['Arras', '18:40:00', 0, '18:48:00', 0], ['Lille Europe', '19:08:00', 0, '19:15:00', 0], ['Calais - Fréthun', '19:43:00', 0, '19:54:00', 0], ['Boulogne sur Mer', '20:12:00', 0, '20:15:00', 0], ['Étaples - Le Touquet', '20:30:00', 0, '20:33:00', 0], ['Rang-du-Fliers - Verton - Berck', '20:41:00', 0, 0, 0]]"
8905,2024-09-17,17:51:00,Paris Montparnasse Hall 1 - 2,20:35:00,Saint-Nazaire,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:51:00', 0], ['Angers Saint-Laud', '19:14:00', 0, '19:17:00', 0], ['Nantes', '19:54:00', 0, '20:00:00', 0], ['Saint-Nazaire', '20:35:00', 0, 0, 0]]"
6260,2024-09-17,17:52:00,Montpellier Sud de France,21:05:00,Paris Gare de Lyon Hall 1 - 2,"[['Montpellier Sud de France', 0, 0, '17:52:00', 0], ['Nîmes Pont du Gard', '18:10:00', 0, '18:13:00', 0], ['Valence TGV Rhône-Alpes Sud', '18:50:00', 0, '18:53:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '21:05:00', 0, 0, 0]]"
9579,2024-09-17,17:52:00,Paris Est,21:04:00,Stuttgart Hbf,"[['Paris Est', 0, 0, '17:52:00', 0], ['Strasbourg', '19:38:00', 0, '19:42:00', 0], ['Karlsruhe Hbf', '20:25:00', 0, '20:28:00', 0], ['Stuttgart Hbf', '21:04:00', 0, 0, 0]]"
6866,2024-09-17,17:54:00,Toulon,20:54:00,Lyon Part Dieu,"[['Toulon', 0, 0, '17:54:00', 0], ['Marseille Saint-Charles', '18:53:00', 0, '19:12:00', 0], ['Aix-en-Provence TGV', '19:23:00', 0, '19:26:00', 0], ['Avignon TGV', '19:46:00', 0, '19:49:00', 0], ['Lyon Part Dieu', '20:54:00', 0, 0, 0]]"
9550,2024-09-17,17:54:00,Francfort sur le Main,22:52:00,Paris Est,"[['Francfort sur le Main', 0, 0, '17:54:00', 0], ['Mannheim Hbf', '19:36:00', 0, '19:40:00', 0], ['Kaiserslautern Hbf', '20:21:00', 0, '20:22:00', 0], ['Sarrebruck', '20:59:00', 0, '21:00:00', 0], ['Forbach', '21:09:00', 0, '21:12:00', 0], ['Paris Est', '22:52:00', 0, 0, 0]]"
8317,2024-09-17,17:55:00,Paris Montparnasse Hall 1 - 2,19:15:00,Tours,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:55:00', 0], ['Vendôme - Villiers-sur-Loir', '18:40:00', 0, '18:43:00', 0], ['Saint-Pierre-des-Corps', '19:07:00', 0, '19:10:00', 0], ['Tours', '19:15:00', 0, 0, 0]]"
9277,2024-09-17,17:55:00,Paris Gare de Lyon Hall 1 - 2,21:37:00,Lausanne,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '17:55:00', 0], ['Dijon', '19:30:00', 0, '19:33:00', 0], ['Mouchard', '20:10:00', 0, '20:12:00', 0], ['Frasne', '20:40:00', 0, '20:42:00', 0], ['Vallorbe', '20:57:00', 0, '21:02:00', 0], ['Lausanne', '21:37:00', 0, 0, 0]]"
6852,2024-09-17,17:57:00,Nice-Ville,22:39:00,Lyon Part Dieu,"[['Nice-Ville', 0, 0, '17:57:00', 0], ['Antibes', '18:16:00', 0, '18:19:00', 0], ['Cannes', '18:30:00', 0, '18:34:00', 0], ['Saint-Raphaël Valescure', '18:54:00', 0, '18:57:00', 0], ['Toulon', '19:45:00', 0, '19:49:00', 0], ['Marseille Blancarde', '20:36:00', 0, '20:42:00', 0], ['Aix-en-Provence TGV', '20:55:00', 0, '20:58:00', 0], ['Avignon TGV', '21:18:00', 0, '21:21:00', 0], ['Valence TGV Rhône-Alpes Sud', '21:53:00', 0, '21:56:00', 0], ['Lyon Part Dieu', '22:39:00', 0, 0, 0]]"
